Varroa Population Simulation - May 03,2018  07:39:27 PM
VarroaPop Version 3.2.8.12 March 2018

                                        Capped  Capped                                                                      Prop           Conc          Conc                                             
            Colony  Adult  Adult         Drone   Wkr    Drone  Wkr    Drone  Wkr  Free   DBrood WBrood DMite  WMite  Mites  Mites  Colony Pollen Colony Nectar   Dead   Dead   Dead   Dead   Dead    Queen      Ave
     Date   Size   Drones   Wkr   Forgrs Brood  Brood   Larv   Larv    Eggs  Eggs Mites  Mites  Mites  /Cell  /Cell  Dying  Dying  Pollen  Pest  Nectar  Pest    DLarv  WLarv  DAdlt  WAdlt  Forgrs  Strength   Temp   Rain
Initial      7500      0   4242   2250      0  11500      0   7000      0   6000      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      3.000    0.000  0.000
05/12/1989   8182      0   4924   2454      0  12016      0   7600      3   4408      0      0      0   0.00   0.00      0   0.00 10000.0  0.000 30000.0  0.000      0      0      0      0      0      3.000   13.100  0.000
05/13/1989   8864      0   5606   2659      0  12532      0   8200      7   2872      0      0      0   0.00   0.00      0   0.00 10318.1  0.000 30963.0  0.000      0      0      0      0      0      3.000   15.500  0.000
05/14/1989   9546      0   6288   2863      0  13048      0   8800     11   1381      0      0      0   0.00   0.00      0   0.00 10658.9  0.000 32001.0  0.000      0      0      0      0      0      3.000   17.600  0.000
05/15/1989  10430      0   6970   3129      0  13564      3   7808     12   1488      0      0      0   0.00   0.00      0   0.00 10625.6  0.000 31920.0  0.000      0      0      0      0      0      3.000   17.900  0.228
05/16/1989  11112      0   7652   3333      0  14080      7   6872     13   1529      0      0      0   0.00   0.00      0   0.00 11030.0  0.000 33131.2  0.000      0      0      0      0      0      3.000   16.700  0.000
05/17/1989  11794      0   8334   3460      0  15196     11   5381     14   1553      0      0      0   0.00   0.00      0   0.00 11434.8  0.000 33465.4  0.000      0      0      0      0      0      3.000   18.000  0.000
05/18/1989  12476      0   9016   3460      0  16312     15   3896     15   1625      0      0      0   0.00   0.00      0   0.00 11839.1  0.000 33837.8  0.000      0      0      0      0      0      3.000   20.700  0.000
05/19/1989  13158      0   9698   3460      0  17428     20   2401     15   1701      0      0      0   0.00   0.00      0   0.00 12245.6  0.000 34356.9  0.000      0      0      0      0      0      3.000   20.400  0.000
05/20/1989  13840      0  10380   3460      0  16952     25   2526     15   1766      0      0      0   0.00   0.00      0   0.00 12648.3  0.000 34825.4  0.000      0      0      0      0      0      3.000   21.300  0.020
05/21/1989  14522      0  11062   3460      0  16532     30   2649     15   1793      0      0      0   0.00   0.00      0   0.00 13047.5  0.000 35246.7  0.000      0      0      0      0      0      3.000   22.200  0.000
05/22/1989  15204      0  11744   3460      3  16157     32   2721     15   1838      0      0      0   0.00   0.00      0   0.00 13445.5  0.000 35571.9  0.000      0      0      0      0      0      3.000   22.900  0.020
05/23/1989  16088      0  12426   3662      7  15788     33   2804     15   1851      0      0      0   0.00   0.00      0   0.00 13386.4  0.000 33963.6  0.000      0      0      0      0      0      3.000   22.000  0.201
05/24/1989  16778      0  13116   3662     11  15401     34   2913     16   1837      0      0      0   0.00   0.00      0   0.00 13808.1  0.000 34168.3  0.000      0      0      0      0      0      3.000   20.500  0.000
05/25/1989  17976      0  14314   3662     15  14534     35   3006     17   1875      0      0      0   0.00   0.00      0   0.00 14225.8  0.000 34240.2  0.000      0      0      0      0      0      3.000   24.100  0.000
05/26/1989  19174      0  15512   3662     20  13721     35   3030     19   1965      0      0      0   0.00   0.00      0   0.00 14639.8  0.000 34185.6  0.000      0      0      0      0      0      3.000   26.600  0.000
05/27/1989  20372      0  16710   3662     25  12902     36   3049     20   2047      0      0      0   0.00   0.00      0   0.00 15049.9  0.000 34001.5  0.000      0      0      0      0      0      3.000   25.300  0.000
05/28/1989  21570      0  17908   3662     30  12100     37   3115     19   1952      0      0      0   0.00   0.00      0   0.00 15456.3  0.000 33688.4  0.000      0      0      0      0      0      3.000   18.900  0.000
05/29/1989  22742      0  19106   3636     35  11314     39   3202     17   1830      0      0      0   0.00   0.00      0   0.00 15855.5  0.000 33238.0  0.000      0      0      0      0      0      3.000   19.400  0.000
05/30/1989  24540      0  20904   3636     40   9940     41   3258     16   1787      0      0      0   0.00   0.00      0   0.00 16248.0  0.000 32627.1  0.000      0      0      0      0      0      3.000   22.700  0.000
05/31/1989  26338      0  22702   3636     45   8551     41   3216     18   1895      0      0      0   0.00   0.00      0   0.00 16633.7  0.000 31852.0  0.000      0      0      0      0      0      3.000   25.100  0.000
06/01/1989  27934      0  24500   3434     50   7151     41   3195     20   2031      0      0      0   0.00   0.00      0   0.00 16987.3  0.000 30923.0  0.000      0      0      0      0      0      3.000   27.800  0.000
06/02/1989  28140      0  24024   4116     55   7407     42   3170     20   2072      0      0      0   0.00   0.00      0   0.00 17431.7  0.000 30280.1  0.000      0      0      0      0      0      3.000   26.700  0.142
06/03/1989  28402      0  23604   4798     61   7644     43   3146     22   2124      0      0      0   0.00   0.00      0   0.00 17967.3  0.000 29930.9  0.000      0      0      0      0      0      3.000   25.700  0.000
06/04/1989  28911      0  23229   5682     67   7817     44   3179     26   2199      0      0      0   0.00   0.00      0   0.00 17873.5  0.000 26942.6  0.000      0      0      0      0      0      3.000   26.100  0.921
06/05/1989  29429      3  22860   6566     71   7871     43   3290     34   2330      0      0      0   0.00   0.00      0   0.00 17781.7  0.000 23806.7  0.000      0      0      0      0      0      3.000   23.900  1.319
06/06/1989  29938      7  22481   7450     74   7945     45   3440     42   2428      0      0      0   0.00   0.00      0   0.00 17691.7  0.000 20518.2  0.000      0      0      0      0      0      3.000   22.300  0.409
06/07/1989  30273     11  22130   8132     75   8051     51   3591     49   2492      0      0      0   0.00   0.00      0   0.00 18674.4  0.000 21358.8  0.000      0      0      0      0      0      3.000   21.600  0.000
06/08/1989  30662     15  21833   8814     76   8141     60   3725     56   2594      0      0      0   0.00   0.00      0   0.00 18745.6  0.000 22432.2  0.000      0      0      0      0      0      3.000   22.800  0.098
